Canonical Tag,Synonyms,Total Count
hanuman,"Hanuman, Anjaneya, maruti, Vijaya Maruti, Mangala, ಆಂಜನೇಯ",86
rama,"Rama, rama, Venkataramana",27
shiva,"Shiva, shiva, ಶಿವಾ",21
krishna,"Krishna, krishna, Radhe",5
devi,"Devi, devi",14
saraswati,"Sharade, Saraswathi",7
narayana,"Narayana, narayana, Hari naama, vishnu",29
bhajan,"Daily Bhajan, devotional, Devotional",11
chalisa,"Chalisa, ಲೀಸಾ, ಹನುಮಾನ್ಚಾಲೀಸಾ",2
dandakam,"Dandakam, ದಂಡಕಂ",2
monday,"Monday Bhajans, ಸೋಮವಾರದ ಭಜನೆಗಳು",14
friday,"Friday, Friday Bhajans",13
belaguru,"Belaguru, belaguru",8
bindu_madhava,"Bindu Madhava, Bindu madhava",14
guru_stuti,"gurustuti, Sadguru, sadguru",19
